"filename", "language", "JSON", "TypeScript", "JavaScript", "MS SQL", "JSON with Comments", "HTML", "XML", "TypeScript JSX", "PostCSS", "Shell Script", "comment", "blank", "total"
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengaduan-masyarakat/RegistrasiMasyarakat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 17, 114
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/DashboardAdminPBB.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1888, 0, 0, 0, 89, 1977
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/DashboardKepalaDusun.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 716, 0, 0, 0, 60, 776
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/DashboardKetuaRT.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 354, 0, 0, 0, 29, 383
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/LoginPBB.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 13, 85
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/RegistrasiPerangkatDesa.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 14, 105
"/home/andika/Projects/college-shits/website-desa/src/react-app/types.ts", "TypeScript", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 102
"/home/andika/Projects/college-shits/website-desa/src/react-app/utils/api.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 101
"/home/andika/Projects/college-shits/website-desa/src/react-app/utils/formatters.ts", "TypeScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 89
"/home/andika/Projects/college-shits/website-desa/src/react-app/utils/time.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 80
"/home/andika/Projects/college-shits/website-desa/src/react-app/vite-env.d.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 24
"/home/andika/Projects/college-shits/website-desa/src/worker/index.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 48
"/home/andika/Projects/college-shits/website-desa/src/worker/middleware/auth.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 41
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/aduan.ts", "TypeScript", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57, 280
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/auth.ts", "TypeScript", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 159
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/dusun.ts", "TypeScript", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 200
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/masyarakat.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 159
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/pengaduan-masyarakat.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/pengelolaan-pbb.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 101
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/perangkat-desa.ts", "TypeScript", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 264
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/public.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/statistik.ts", "TypeScript", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 240
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/surat-pbb.ts", "TypeScript", 0, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 289
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/tracking.ts", "TypeScript", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 16, 29, 228
"/home/andika/Projects/college-shits/website-desa/src/worker/types.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/andika/Projects/college-shits/website-desa/src/worker/utils/db.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/andika/Projects/college-shits/website-desa/src/worker/utils/hash.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/andika/Projects/college-shits/website-desa/src/worker/utils/jwt.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 72
"/home/andika/Projects/college-shits/website-desa/tsconfig.app.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"/home/andika/Projects/college-shits/website-desa/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/andika/Projects/college-shits/website-desa/tsconfig.node.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"/home/andika/Projects/college-shits/website-desa/tsconfig.worker.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/andika/Projects/college-shits/website-desa/vite.config.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/andika/Projects/college-shits/website-desa/worker-configuration.d.ts", "TypeScript", 0, 4992, 0, 0, 0, 0, 0, 0, 0, 0, 3900, 2, 8894
"/home/andika/Projects/college-shits/website-desa/wrangler.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 67
"Total", "-", 6089, 7086, 25, 104, 7, 29, 1, 6912, 367, 6, 4007, 1074, 25707
